sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
agriculture,MSP,Minimum support price — Arhar(Tur),1979-03-01,All India,155.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1980-03-01,All India,165.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1981-03-01,All India,190.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1983-03-01,All India,215.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1984-03-01,All India,245.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1985-03-01,All India,275.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1986-03-01,All India,300.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1987-03-01,All India,320.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1988-03-01,All India,325.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1989-03-01,All India,360.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1990-03-01,All India,425.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1991-03-01,All India,480.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1992-03-01,All India,545.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1993-03-01,All India,640.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
agriculture,MSP,Minimum support price — Arhar(Tur),1994-03-01,All India,700.0,INR/quintal,yearly,Minimum Support Price for Foodgrains According to Crop Year (Fair Average Quality).xlsx,
