sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
agriculture,foodgrains,Foodgrain production — Cereals,1951-03-01,All India,205.8,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1952-03-01,All India,213.0,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1953-03-01,All India,229.0,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1954-03-01,All India,282.1,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1955-03-01,All India,252.2,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1956-03-01,All India,275.6,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1957-03-01,All India,290.4,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1958-03-01,All India,255.3,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1959-03-01,All India,308.5,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1960-03-01,All India,316.8,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1961-03-01,All India,345.8,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1962-03-01,All India,356.6,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1963-03-01,All India,332.1,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1964-03-01,All India,370.0,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1965-03-01,All India,393.1,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1966-03-01,All India,305.9,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1967-03-01,All India,304.4,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1968-03-01,All India,376.1,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1969-03-01,All India,397.6,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1970-03-01,All India,404.3,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1971-03-01,All India,422.2,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1972-03-01,All India,430.7,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1973-03-01,All India,392.4,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
