sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
agriculture,foodgrains,Foodgrain yield — Cereals,1951-03-01,All India,668.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1952-03-01,All India,714.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1953-03-01,All India,764.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1954-03-01,All India,902.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1955-03-01,All India,820.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1956-03-01,All India,874.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1957-03-01,All India,900.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1958-03-01,All India,790.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1959-03-01,All India,930.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1960-03-01,All India,937.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1961-03-01,All India,1013.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1962-03-01,All India,1028.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1963-03-01,All India,931.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1964-03-01,All India,1033.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1965-03-01,All India,1078.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1966-03-01,All India,862.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1967-03-01,All India,863.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1968-03-01,All India,1032.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1969-03-01,All India,1076.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1970-03-01,All India,1073.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1971-03-01,All India,1123.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1972-03-01,All India,1141.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1973-03-01,All India,1070.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1974-03-01,All India,1151.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1975-03-01,All India,1045.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1976-03-01,All India,1235.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1977-03-01,All India,1089.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1978-03-01,All India,1308.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1979-03-01,All India,1328.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1980-03-01,All India,1074.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1981-03-01,All India,1336.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1982-03-01,All India,1308.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1983-03-01,All India,1231.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1984-03-01,All India,1457.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1985-03-01,All India,1417.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1986-03-01,All India,1552.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1987-03-01,All India,1471.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1988-03-01,All India,1465.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1989-03-01,All India,1689.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1990-03-01,All India,1745.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1991-03-01,All India,1740.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1992-03-01,All India,1751.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1993-03-01,All India,1744.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1994-03-01,All India,1888.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1995-03-01,All India,1911.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1996-03-01,All India,1797.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1997-03-01,All India,1882.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1998-03-01,All India,1900.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,1999-03-01,All India,1921.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2000-03-01,All India,1986.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2001-03-01,All India,1901.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
