sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1996-11-01,All India,9.166666666667,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1996-12-01,All India,10.504201680672,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-01-01,All India,11.016949152542,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-02-01,All India,11.440677966102,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-03-01,All India,10.548523206751,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-04-01,All India,8.75,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-05-01,All India,6.172839506173,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-06-01,All India,4.858299595142,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-07-01,All India,3.571428571429,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-08-01,All India,2.34375,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-09-01,All India,1.544401544402,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-10-01,All India,1.153846153846,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-11-01,All India,0.0,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1997-12-01,All India,0.760456273764,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1998-01-01,All India,4.580152671756,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1998-02-01,All India,3.802281368821,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1998-03-01,All India,3.81679389313,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1998-04-01,All India,4.597701149425,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1998-05-01,All India,6.976744186047,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1998-06-01,All India,8.880308880309,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1998-07-01,All India,10.727969348659,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1998-08-01,All India,11.832061068702,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1998-09-01,All India,12.927756653992,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
prices,CPI,Base : 1986-87 = 100      CPI - Agricultural Labourer : All India General Index,1998-10-01,All India,15.589353612167,percent YoY inflation,monthly,Consumer Price Index - Annual Variation.xlsx,
