sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
national_income,constant prices (2022-23),1. PFCE,2022-06-01,All India,3439803.17701671,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2022-09-01,All India,3369229.15051318,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2022-12-01,All India,3967915.55638211,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2023-03-01,All India,4145880.45919231,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2023-06-01,All India,3660130.79175497,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2023-09-01,All India,3547025.1863664,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2023-12-01,All India,4182409.51329233,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2024-03-01,All India,4395691.04667788,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2024-06-01,All India,3882450.66244069,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2024-09-01,All India,3744336.22856026,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2024-12-01,All India,4431992.71654626,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2025-03-01,All India,4641071.27636244,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2025-06-01,All India,4219737.91235328,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),1. PFCE,2025-09-01,All India,4012153.21793076,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
