sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
prices,housing,House price index,2009-03-01,Ahmedabad,100.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-03-01,Bangalore,100.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-03-01,Chennai,100.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-03-01,Delhi,100.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-03-01,Jaipur,100.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-03-01,Kanpur,100.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-03-01,Kolkata,100.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-03-01,Lucknow,100.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-03-01,Mumbai,100.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-06-01,Ahmedabad,101.4,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-06-01,Bangalore,103.6,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-06-01,Chennai,96.1,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-06-01,Delhi,101.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-06-01,Jaipur,99.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-06-01,Kanpur,113.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-06-01,Kolkata,100.7,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-06-01,Lucknow,103.7,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-06-01,Mumbai,116.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-09-01,Ahmedabad,104.2,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-09-01,Bangalore,101.7,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-09-01,Chennai,83.9,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-09-01,Delhi,100.9,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-09-01,Jaipur,112.7,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-09-01,Kanpur,114.8,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-09-01,Kolkata,107.2,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-09-01,Lucknow,118.6,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-09-01,Mumbai,131.0,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-12-01,Ahmedabad,117.3,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-12-01,Bangalore,100.8,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-12-01,Chennai,106.8,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-12-01,Delhi,99.7,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-12-01,Jaipur,119.1,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-12-01,Kanpur,114.1,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-12-01,Kolkata,110.9,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-12-01,Lucknow,116.7,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2009-12-01,Mumbai,135.1,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-03-01,Ahmedabad,124.3,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-03-01,Bangalore,98.5,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-03-01,Chennai,118.2,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-03-01,Delhi,109.5,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-03-01,Jaipur,142.5,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-03-01,Kanpur,120.2,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-03-01,Kolkata,107.5,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-03-01,Lucknow,112.5,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-03-01,Mumbai,136.4,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-06-01,Ahmedabad,93.21867915399,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-06-01,Bangalore,98.63969688202,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-06-01,Chennai,102.731254249705,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-06-01,Delhi,100.721966276523,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-06-01,Jaipur,95.312153938016,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-06-01,Kanpur,91.735054350571,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-06-01,Kolkata,89.611742854129,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-06-01,Lucknow,77.879137780952,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-06-01,Mumbai,88.820870487804,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-06-01,All India,90.626706474878,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-09-01,Ahmedabad,102.542630483707,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-09-01,Bangalore,97.902562311559,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-09-01,Chennai,109.501643212766,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
prices,housing,House price index,2010-09-01,Delhi,95.560697035579,index (base 2008-09=100),quarterly,House Price Index Publication.xlsx,
