sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
industry,IIP use-based,Capital Goods,2013-04-01,All India,0.335195530726254,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2013-05-01,All India,0.911854103343456,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2013-06-01,All India,-9.8135426889107,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2013-07-01,All India,-4.12371134020619,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2013-08-01,All India,-6.86947988223749,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2013-09-01,All India,-5.93385214007782,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2013-10-01,All India,-1.46596858638744,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2013-11-01,All India,1.87018701870186,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2013-12-01,All India,-4.43349753694581,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-01-01,All India,-0.639658848614066,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-02-01,All India,-1.49700598802395,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-03-01,All India,-9.45426594926979,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-04-01,All India,-8.24053452115812,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-05-01,All India,-6.82730923694779,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-06-01,All India,9.68443960826985,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-07-01,All India,1.50537634408603,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-08-01,All India,-3.37197049525817,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-09-01,All India,8.06618407445708,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-10-01,All India,-12.6461211477152,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-11-01,All India,-4.85961123110151,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2014-12-01,All India,2.06185567010309,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-01-01,All India,-5.25751072961374,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-02-01,All India,1.41843971631205,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-03-01,All India,3.4804753820034,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-04-01,All India,3.76213592233009,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-05-01,All India,-4.84913793103448,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-06-01,All India,-8.13492063492064,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-07-01,All India,-4.97881355932204,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-08-01,All India,2.83533260632497,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-09-01,All India,2.39234449760766,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-10-01,All India,20.316301703163,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-11-01,All India,6.35641316685586,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2015-12-01,All India,4.74747474747475,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2016-01-01,All India,12.5707814269536,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2016-02-01,All India,4.29570429570431,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2016-03-01,All India,0.984413453650524,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2016-04-01,All India,9.23976608187135,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2016-05-01,All India,14.722536806342,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2016-06-01,All India,14.7948164146868,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
industry,IIP use-based,Capital Goods,2016-07-01,All India,8.80713489409141,percent YoY growth,monthly,Index of Industrial Production (1).xlsx,
