sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
industry,manufacturing,1. Food products,2023-04-01,All India,98.9,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2023-05-01,All India,97.6,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2023-06-01,All India,92.6,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2023-07-01,All India,97.3,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2023-08-01,All India,99.2,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2023-09-01,All India,93.0,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2023-10-01,All India,100.0,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2023-11-01,All India,108.3,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2023-12-01,All India,119.4,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2024-01-01,All India,111.8,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2024-02-01,All India,108.1,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2024-03-01,All India,106.3,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2024-04-01,All India,92.2,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2024-05-01,All India,92.3,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2024-06-01,All India,94.8,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2024-07-01,All India,96.3,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2024-08-01,All India,99.7,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
industry,manufacturing,1. Food products,2024-09-01,All India,97.5,index (base 2022-23=100),monthly,Index Numbers of Twenty Three Major Industry Groups of the Manufacturing Sector (Base_ 2022-23 = 100).xlsx,
